Kabupaten/Kota,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Daging Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAGING,,,,,,,Daging sapi,,,,,,,"Daging kambing, domba/biri-biri",,,,,,,Daging babi,,,,,,,Daging ayam ras,,,,,,,Daging ayam kampung,,,,,,,Daging segar lainnya,,,,,,,Daging diawetkan lainnya,,,,,,,"Tetelan, sandung lamur",,,,,,,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",,,,,,
Kota Langsa,3376.27,2874.45,3787.16,3364.81,4521.68,4503.84,4521,534.3,543.85,900.63,850.58,911.92,562.69,472,98.76,48.06,22.7,32.62,46.01,30.12,-,24.71,-,-,-,-,-,-,2061.28,1829.26,1727.78,2074.48,2730.47,3781.52,3623,297.8,329.35,802.31,185.7,309.88,35.92,219,237.94,32.86,235.68,81.23,67.92,22.5,16,82.1,49.67,6.61,10.72,236.96,46.84,156,3.16,4.28,28.1,27.9,54.86,-,12,36.21,37.1,63.35,101.58,163.64,24.23,23
Kota Lhokseumawe,3809.61,2753.69,3408.66,4906.02,4267.03,4281.97,5865,315.29,581.8,640.25,1232.31,652.13,187.73,866,1.85,16.13,24.35,73.67,-,-,-,-,18.36,-,-,-,-,-,2869.2,1841.71,2174.52,2696.36,3172.97,3557.42,3869,602.89,214.07,510.33,836.34,375.27,181.75,707,11.33,20.83,-,20.17,11.79,29.55,209,-,7.33,-,30.35,52.56,196.31,190,-,42.94,24.14,0.48,-,14.41,13,9.05,10.52,35.08,16.34,2.31,114.8,10
Kota Subulussalam,2500.59,2658.87,2176.26,2968,4396.98,3532.5,3171,206.71,128.65,230.62,39.5,163.44,91.37,100,23.59,-,28.37,36.1,-,42.51,-,126.79,-,27.33,-,154.31,-,89,1327.82,1522.34,1340.79,2397.74,2977.99,2494.54,2211,739.25,991.5,503.8,366.97,957.92,759.94,642,76.43,16.38,45.35,85.98,45.87,78.57,5,-,-,-,-,97.45,31.53,85,-,-,-,11.39,-,-,-,-,-,-,30.32,-,34.05,38
Nias,6833.51,8386.72,8739.3,6099.9,9558.72,9522.18,9405,26.66,-,-,-,13.72,19.57,25,-,-,-,27.13,75.01,-,7,3805.84,5153.98,6237.65,1100.06,4757.82,4899.75,4293,1313.05,1640.91,1132.97,3175.72,3127.87,3128.85,3512,1677.41,1571.56,1304.7,1712.66,1561.49,1372.25,1496,10.54,20.28,49.89,84.33,-,81.94,72,-,-,14.08,-,-,-,-,-,-,-,-,22.81,19.83,-,-,-,-,-,-,-,-
Mandailing Natal,1793.95,2229.27,3372.35,2859.03,3794.89,3893.56,4567,203.11,167.5,579.83,321.68,217.06,244.36,348,-,-,-,-,-,5.05,-,47.52,7.82,-,-,2.78,-,-,1287.13,1640.6,2186.65,2004,3006.92,3084.89,3482,256.2,331.12,369.32,510.15,497.74,414.55,653,-,40.35,198.17,-,35.38,69.65,-,-,-,25.59,-,3.19,37.48,2,-,-,-,-,-,2.53,-,-,41.89,12.79,23.19,31.81,35.03,83
Tapanuli Selatan,2394.38,3092.36,3471.63,4848.73,4704.95,4442.56,3786,104.72,259.56,54.38,285.7,244.43,156.18,115,-,-,-,15.86,-,-,2,344.57,295.31,158.04,436.32,315.86,410.38,91,1532.37,1873.66,2917.6,3660.59,3447.45,3413.05,3287,377.21,571.23,319.63,429.02,650.51,390.8,234,-,68.06,7.99,14.04,-,16.89,-,-,-,-,-,-,29.41,35,-,-,-,-,18.45,-,2,35.51,24.53,13.99,7.2,28.25,25.85,19
Tapanuli Tengah,2266.29,2362.34,2173.03,2523.99,2321.64,2523.94,2894,64.12,94.38,59.83,100.09,-,34.08,-,10.4,-,-,-,-,-,-,660.71,534.54,344.22,445.86,144.76,339.44,303,808.94,1106.01,996.79,1295.76,1389.43,1531.1,2038,603.19,509.05,566.1,522.08,506.33,526.08,469,102.03,104.95,107.3,143.76,261.95,72.72,59,-,9.05,35.64,-,6.72,4.91,25,-,-,-,2.63,-,-,-,16.89,4.34,63.14,13.81,12.46,15.6,1
Tapanuli Utara,5614.51,5768.22,5493.75,6370.79,8723.31,11136.83,9730,28.99,18.45,77.58,40.25,73.18,40.2,1,-,-,4.93,-,-,-,-,2818.12,2891.37,2443.34,1639.75,2091.56,3946.89,4587,1196.38,1199.03,1462.07,2169.7,4072.2,3833.25,3413,1016.11,856.08,1324.84,1058.36,1489.02,2622.27,1274,472.15,739.61,171.55,1331.07,777.11,640.64,417,58.75,45.91,9.44,123.21,20.07,50.77,37,-,-,-,-,-,-,-,24.02,17.77,-,8.44,200.17,2.8,-
Toba Samosir,7354.42,6881.98,7667.2,9668.09,9416.66,9622.69,10291,132.05,92.29,19.51,401.09,298.41,163.15,27,-,-,59.21,24.8,33.61,19.82,-,3316.12,2927.21,2261.13,2608.69,2934.72,3146.51,3703,1601.54,1155.24,2166.51,2288.71,3232.97,4075.79,3955,1815.33,2020.68,2516.14,3335.75,2344.61,1819.19,2100,408.64,644.63,622.06,885.65,507.68,324.58,434,26.37,17.04,-,92.19,22.35,51.47,71,7.89,8.18,-,-,-,-,-,46.49,16.7,22.65,31.21,42.3,22.18,-
Labuhan Batu,4491.26,4632.49,3736.65,3657.64,5614.38,5789.76,5795,460.42,583.66,223.59,365.76,592.11,494.27,324,-,66.53,-,9.28,63.79,56.13,9,264.27,207.99,106.8,87.75,351.85,387.62,206,2266.32,2608.12,2618.06,2595.36,3577.31,4099.15,4182,1258.23,856.57,623.49,489.71,789.61,489.98,633,39.53,25.03,57.2,7.09,30.17,8.39,-,-,18.23,-,-,54.22,67.2,115,5.33,38.79,3.16,3.67,9.39,-,-,197.16,227.57,104.34,99.01,145.94,187.02,327
Asahan,3640.87,4146.88,4246.59,3925.52,4642.95,5876.51,5574,388.31,303.51,532.17,228.95,241.82,221.18,363,48.72,-,-,50.07,5.97,-,39,186.13,43.11,40.39,83.54,62.57,130.74,165,2078.8,2521.21,2733.35,2428.04,3473.69,4218.66,3059,866.02,1114.96,834.66,1053.72,679.6,1137.84,1717,17.77,42.96,39.91,22.62,60.24,69.46,60,-,-,-,-,22.62,38.38,104,23.51,16.76,7.46,16.58,-,2.27,8,31.62,104.38,58.65,42,96.44,57.97,59
Simalungun,4460.94,5692.87,5849.6,5856.76,6544.54,7318.26,5992,261.59,479.33,579.28,377.24,204.43,87.99,106,16.35,18.19,86.3,42.59,51.52,73.37,8,971.06,1233.76,929.72,985.51,1611.5,1545.98,1287,2183.56,1802.25,2158.4,2684.16,3001.21,3384.6,3146,864.34,1791,1867.33,1314.33,1205.06,1434.75,1115,92.45,162.81,108.2,310.54,274.61,372.92,85,16.17,2.1,1.83,1.44,68.64,100.25,104,21.48,70.35,12.25,36.07,10.64,99.52,17,33.95,133.08,106.29,104.88,116.95,218.88,124
Dairi,6800.72,7255.04,7301.91,7342.01,7517.09,7789.8,8292,175.73,167.49,275.79,163.16,409.57,310.32,334,25.49,-,50.62,-,-,6.18,32,2931.49,3326.38,2383.95,2220.63,2988.45,2679.25,2916,1187.6,1438.83,1696.04,1814.01,2106.47,2211.39,2830,2290.73,1948.65,2480.22,2473.7,1825.18,2200.92,1778,175.17,352.09,345.92,660.68,158.82,344.74,261,-,-,58.62,-,15.33,29.72,60,-,-,-,-,-,2.11,-,14.49,21.6,10.75,9.82,13.29,5.18,81
