Kabupaten/Kota,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Daging Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAGING,,,,,,,Daging sapi,,,,,,,"Daging kambing, domba/biri-biri",,,,,,,Daging babi,,,,,,,Daging ayam ras,,,,,,,Daging ayam kampung,,,,,,,Daging segar lainnya,,,,,,,Daging diawetkan lainnya,,,,,,,"Tetelan, sandung lamur",,,,,,,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",,,,,,
Probolinggo,2810.2,2676.94,4416.94,5859.2,4061.7,4461.08,4399,877.39,706.37,1199.11,1524.96,914.68,944.36,774,28.99,9.08,35.07,51.18,11.12,13.13,9,-,-,-,5.29,1.54,10.45,6,1502.93,1538.16,2595.72,3135.72,2602.62,2715.72,2842,273.4,185.51,170.56,779.68,307.61,422.8,321,-,15.4,27.33,4.45,22.92,10.54,55,1.03,-,-,2.16,59.34,75.81,151,14.73,9.84,73.14,66.28,19.37,75.89,23,111.73,212.58,316.01,289.47,122.5,192.4,217
Pasuruan,4550.8,4458.74,5208.3,5873.36,5481.63,5574.21,6024,1409.6,1027.89,1451.69,1234.01,1196.57,1024.05,1401,25.34,48.9,72.97,243.35,4.36,-,50,15.63,-,-,5.68,3.19,5.12,8,2593.38,2795.56,3098.5,3450.68,3559.83,3579.92,3251,226.09,237.45,280.23,587.71,185.74,275.61,373,16.29,0.71,31.51,8.2,49.95,12.32,36,4.57,35.79,2.48,13.59,144.69,116.24,506,107.51,156.42,111.94,116,111.21,115.17,93,152.38,156.03,158.99,214.14,226.09,445.79,306
Sidoarjo,8501.6,8989.32,8701.03,10919.4,12092.57,12956.63,12654,3432.23,3767.15,3649.38,4101.98,4248.94,4681.58,4006,17.41,-,17.85,164.85,59.05,65.7,27,3.41,-,-,24.32,5.03,6.83,9,3987.04,4004.26,4142.52,5088.94,6024.67,5852.86,6320,505.18,429.33,333.61,859.05,456.65,442.72,411,38.62,99.98,23.81,61.18,21.82,23.66,33,108.51,215.99,102.95,25.79,827.57,1230.53,1153,248.38,291.15,181.89,249.9,165.12,367.56,332,160.82,181.46,249.02,343.4,283.72,285.18,362
Mojokerto,6598.29,6696.33,6378.74,6916.46,8107.83,8815.35,7832,2231.75,2381.86,2114.47,2114.02,2377.53,3005.32,2304,20.54,10.26,20.58,22.6,-,-,7,-,-,-,-,-,-,-,3027.87,3028.87,3131.59,3297.67,3878.97,3658.29,3905,594.43,503.24,366.81,742.83,775.93,931.11,598,25.55,56.73,36.56,39.86,16.72,0.88,33,16.27,-,74.4,6.14,404.5,410.78,364,279.02,262.86,206.46,260.82,223.36,403.18,264,402.86,452.51,427.87,432.51,430.83,405.79,357
Jombang,4321.88,4580.64,5621.88,5849.96,6780.9,6026.08,6275,1301.36,1455.34,1761.55,1666.64,1785.2,1562.49,1285,8.47,12.09,-,1.63,-,-,-,-,7.64,-,-,1.5,3.04,9,2235.07,1878.95,2793.84,3111.69,3179.11,3008.84,3416,375.16,675.54,447.74,445.74,712.47,509.16,370,22.85,92.85,105.32,16.21,64.83,80.04,157,24.8,45.44,55.92,63.49,423.55,341.4,493,109.55,178.56,147.23,191.55,244.74,230.19,222,244.63,234.23,310.27,353,369.48,290.92,323
Nganjuk,3358.1,3336.89,4121.34,4711.41,4891.11,5445.28,5699,499.09,476.8,409.63,496.28,348.19,593.03,721,18.05,-,35.41,-,67.3,27.1,64,-,-,-,-,-,1.14,26,2372.41,2166.95,2886.74,3306.04,3383.58,3567.61,3582,356.64,534.03,500.45,577.71,499.03,530.28,458,2.57,9.15,8.61,8.4,8.58,17.53,118,13.25,10.97,31.27,1.63,274.96,351.95,323,28.09,25.36,25.19,30.12,28.57,12.09,36,67.99,113.64,224.05,291.24,280.9,344.53,372
Madiun,3875.94,3671.54,4105.52,4193.32,5148.54,5258.84,5768,372.33,297.29,296.3,327.86,474.02,558.89,341,-,13.81,22.85,42.44,8.9,-,-,-,41.81,-,54.38,10.12,13.21,4,2616.62,2716.09,3036.76,2790.35,3484.72,3789.03,4088,693.47,360.78,391.73,735.07,663.01,483.48,537,40.12,53.88,18.91,17.1,-,-,74,17.48,48.27,72.92,9.67,245.83,191.21,451,22.23,12.21,50.29,1.56,6.99,20.86,3,113.69,127.4,215.76,214.89,254.94,202.16,271
Magetan,4041.73,4705.48,5214.36,5479.05,6097.88,5856.93,6512,301.46,655.84,445.27,693.17,530.78,463.67,703,-,33.03,13.46,-,21.43,11.88,-,-,-,3.74,-,13.82,-,-,2776.17,3288.62,3734.36,3804.9,4119.02,4004.69,4919,746.02,482.55,766.4,801.42,402.29,587.23,322,38.36,25.3,17.67,1.95,12.76,44.1,43,29.75,15.5,25.22,4.62,612.53,411.24,274,2.59,20.89,39.07,21.53,46.2,20.75,7,147.39,183.75,169.16,151.46,339.05,313.37,244
Ngawi,2828.21,3831.54,4224.17,5073.26,4058.31,4451.72,6205,146.89,189.96,204.26,181.68,53.65,23.18,267,29.75,9.63,1.84,-,1.23,-,-,-,17.05,-,6.22,-,-,-,1663.57,2311.77,3142.68,3593.33,2853.06,3281.54,4072,823.84,1050.4,735.71,1094.27,729.12,628.43,1151,6.82,4.66,1.97,1.75,11.47,19.92,9,4.08,-,5.79,6.97,144.36,206.68,488,16.84,-,-,-,14.43,3.66,8,136.4,248.07,131.92,189.05,250.99,288.31,211
Bojonegoro,4272.46,4653.37,4443.5,5061.11,6062.72,6050.85,6554,840.02,832.65,849.14,877.55,1237.26,1182.76,1355,-,39.14,28.44,18.25,24.23,12.99,11,-,4.23,-,-,-,-,-,1811.98,2164.14,2207.19,2668.65,3461.91,3364.61,3537,1173.51,1196.51,866.45,1130.2,796.78,755.76,856,2.09,17.99,18.49,41.31,37.81,57.79,5,7.65,-,16.48,7.41,189.28,215.55,287,162.86,146.33,107.06,41.75,12.28,93.56,64,274.35,252.38,350.26,275.99,303.17,367.83,439
Tuban,3917.63,4232.77,3812.75,5187.26,7333.75,7927.63,7533,824.19,849.5,793.23,1162.25,1579.96,1639.54,1738,87.2,23.96,-,12.72,66.68,52.55,45,-,15.99,-,-,-,-,5,2029.73,2327.65,2142.71,2563.69,3665.85,3867.9,3502,670.22,626.43,476.42,873.09,1144.34,1019.64,1374,10.85,28.28,20.83,85.03,13.05,36.55,17,13.88,40.37,41.54,19.41,232.87,447.77,352,26,45.94,63.48,84.78,110.81,258.46,80,255.55,274.67,274.55,386.29,520.19,605.23,420
Lamongan,4620.5,4601.44,4569.46,5269.03,6565.59,7247.16,7420,714.86,840.22,675.65,727.38,1240.38,1241.76,1662,50.13,10.13,12.11,-,10.35,11.61,-,-,-,-,8.26,10.56,-,10,3352.13,3191.47,3257.46,3813.47,4225.35,4447.91,4733,259.62,240.86,252.12,229.33,389.1,654.52,266,11.83,4.37,-,25.55,102.69,-,60,4.9,8.33,5.17,-,77.64,160.79,129,78.74,45.97,37.03,54.29,29.08,52.32,97,148.28,260.09,329.9,410.75,480.43,678.27,462
Gresik,6518.01,6931.29,6403.09,8469.48,8781.35,9496.17,10514,1694.17,2012.9,1790.59,2442.97,2456.21,2336.6,2944,6.45,12.44,-,90.31,32.71,0.99,13,27.63,12.95,-,11.18,-,-,14,4008.87,4238.11,3998.19,4925.27,4904.26,6005.2,5790,291.08,222.68,191.66,384.51,502.28,94.61,420,110.04,60.6,29.2,18.68,31.36,24.22,36,15,11.54,20.76,25.9,502.13,578.97,673,145.17,50.92,142.67,143.84,112.59,84.76,88,219.61,309.15,230,426.81,239.82,370.81,537
Bangkalan,4672.36,5229.22,4908.27,4170.4,5515.82,5857.36,4923,1697.15,1753.82,1741.38,1462.66,1635.59,2196.11,1398,-,10.24,57.38,51.78,10.68,3.76,25,3.22,18.8,3.25,0.1,-,-,-,2777.85,2836.59,2527.17,2186.47,3003.57,2963.45,2691,114.99,321.42,336.95,156.14,374.38,127.46,260,-,15.37,14.64,-,5.48,47.67,-,-,12.2,4.16,-,46.43,122.37,141,28.14,133.1,39.3,77.77,124.15,98.88,102,51.02,127.69,184.03,235.47,315.53,297.64,305
Sampang,2447.14,2783.09,3200.96,3586.44,4403.19,4070.16,4087,739.72,792.74,748.2,785.22,929.62,1055.8,679,-,5.61,-,-,-,-,-,-,-,-,-,-,5.75,-,1317.91,1523.2,1985.15,2140.35,2503.29,2363.28,2573,237.63,204.5,298.68,547.26,777.52,509.31,656,-,14,-,9.81,15.54,0.69,3,-,-,26.2,-,6.65,9.13,60,43.49,90.65,11.84,-,3.66,6.44,20,108.39,152.41,130.89,103.8,166.92,119.76,96
Pamekasan,3474.37,4378.8,4269.78,3969.54,4553.06,5267.87,4685,1531.37,1982.55,1952.99,1605.9,1295.54,2003.63,1220,110.27,94.91,25.06,97.99,15.12,155.68,26,-,-,-,-,-,10.87,-,1361.78,1664.75,1827.49,1788.56,2681.55,2619.83,2618,292.88,350.65,182.06,301.26,314.18,303.55,490,10.65,21.56,141.57,6.05,59.48,6.41,-,22.26,-,-,-,41.26,-,59,77.71,106.98,11.41,50.62,28.47,30.02,69,67.45,157.4,129.21,119.18,117.46,137.88,201
Sumenep,4503.91,4936.75,4380.58,5685.1,11781.47,10119.76,7967,1088.97,1467.9,1093.99,1663.07,3432.35,2674,2305,-,25.91,17.07,11.69,13.74,81.98,72,-,2.94,15.31,-,-,5.39,-,2657.27,2386.79,1982.55,2609,4652.31,4373.36,3563,511.82,738.23,1029.82,689.26,2840.93,2237.5,1140,78.25,4.77,-,-,10.38,12.45,41,-,0.5,-,-,74.82,113.08,181,36.36,100.12,50.86,177.48,140.02,194.81,146,131.24,209.6,190.98,534.59,616.92,427.19,518
Kota Kediri,4848.66,5762.19,6343.15,7906.71,7918.39,8198.81,8448,769.79,1051.95,1255.51,2051.04,1687.45,1223.97,1402,-,22.94,39.39,9.56,16.18,-,-,34.77,56.67,-,15.05,40.65,111.77,-,3650.02,3934.77,3937.38,4784.48,5083.38,5338.93,5691,125.24,304.22,362.26,466.46,216.27,336.33,132,2.27,19.2,16.92,67.91,14.95,68.17,38,25.66,82.03,272.85,66.56,455.85,478.36,780,93.04,119.24,209.83,181.92,95.41,158.3,42,147.87,171.16,249.01,263.72,308.24,482.99,363
Kota Blitar,5631.17,4871.48,5427.44,6657.31,6662.17,5129.21,6153,1564.82,1198.26,735.88,1757.36,1736.15,905.12,610,33.47,10.02,-,-,44.9,-,-,-,35.24,-,-,-,108.16,45,2819.38,2925.81,3794.92,3957.97,3812.41,2957.88,3293,741.71,289.2,592.24,321.74,234.2,290.58,563,169.45,-,11.8,36.87,9.81,3.34,198,39.67,66.34,8.3,77.11,586.02,677.74,1054,86.9,63.58,110.92,64.53,22.37,76.28,163,175.76,283.02,173.38,441.72,216.32,110.12,227
Kota Malang,6898.12,7476.09,7840.02,9217.71,13582.61,10890.49,12138,2439.01,2388.44,2661.62,2784.99,4196.63,2755.48,3658,26.99,-,69.81,67.2,36.58,8.56,-,24.6,67.6,10.13,7.53,138.19,30.67,33,3413.34,3811.5,4133.8,5218.03,6749.38,6066.9,5997,631.85,646.64,451.93,467.59,843.48,380.31,451,36.68,39.5,57.49,59.16,15.6,65.62,30,98.3,196.88,98.69,215.65,1387.32,1197.25,1569,43.79,126.24,99.59,85.21,75.77,113.22,148,183.55,199.29,256.96,312.35,139.66,272.5,251
Kota Probolinggo,4441.92,4528.2,5213.68,5644.36,5939.24,5660.85,6089,1467.25,1252.14,1754.98,1607.25,1692.46,1652.91,1532,-,41,9.35,-,5.06,76.61,39,-,-,46.27,-,22.18,3.17,4,2487.41,2707.49,2792.6,3260.63,3522.3,3000.19,3671,219.8,199.58,289.31,258.64,126.57,134.02,136,4.9,-,-,40.57,32.51,4.9,-,44.61,67.37,2.69,85.79,307.51,389.97,474,53.07,64.73,85.83,47.09,35.79,11.06,106,164.89,195.88,232.64,344.4,194.86,388,127
Kota Pasuruan,6181.56,6107.76,5657.07,6571.14,7397.17,7717.27,9360,1783.71,1667.18,1244.65,1821.99,1930.63,1750.75,2247,215.43,57.44,45,128.41,-,118.94,60,22.03,25.24,-,-,-,-,-,3360.58,3694.8,3727.28,3763.15,4178.68,4696.1,5294,314.13,173.74,57.11,169.52,152.41,111.87,153,10.82,-,15.76,31.2,3.82,5.56,-,86.39,24.85,84.53,236.49,688.03,584.67,1215,146.14,239.68,265.75,203.95,228.37,161.74,153,242.33,224.83,217,216.43,215.22,287.62,239
Kota Mojokerto,6615.86,7315.5,7637.3,9482.9,10003.86,10111.97,10859,1905.64,2660.43,2538.84,2856.3,3127.04,2857.46,3361,-,-,13.87,-,-,-,-,15.53,5.22,45.22,80.59,18.68,-,-,3564.86,3760.27,4237.3,5493,5064.13,5624.79,5676,673.53,400.74,503.38,393.56,455.81,249.87,310,34.69,53.83,3.84,98.47,30.55,35.43,19,86.43,163.3,16.42,92.57,898.82,901.92,988,114.64,56.41,128.91,151.59,159.1,83.2,129,220.54,215.29,149.53,316.82,249.74,359.3,376
Kota Madiun,7519.55,6027.25,6664.88,7880.66,10561.8,11146.56,10353,2066.86,1250.88,1196.8,1610.3,2195.21,2390.23,2412,-,-,29.31,27.71,-,17.5,-,31.18,38.9,23.1,73.14,62.83,4.14,-,4067.32,3405.16,3794.63,4353.84,5950.33,5808.81,5394,856.6,664.79,826.86,919.69,823.5,893.41,675,37.73,85.14,139.31,53.31,95.79,2.85,20,141.86,185.99,293.27,214.28,1068.27,1630.46,1332,47.97,61.2,62.25,64.7,23.43,41.32,56,270.03,335.19,299.34,563.69,342.44,357.86,465
Kota Surabaya,10288.31,9328.13,9673.07,11904.14,12790.37,15268.08,15755,3204.23,3259.27,2916.32,3640.29,4144.94,5094.06,4341,120.07,30.46,161.64,47.63,142.64,35.3,11,214.48,193.4,66.98,225.01,166.77,212.88,265,5020.55,4339.72,5310.31,6254.18,6106.12,6705.47,7302,682.89,525.54,336.97,618.1,453.12,407.6,574,71.39,171.86,101.81,88.03,115.49,132.11,131,177.2,109.35,113.73,175.45,1091.31,1702.52,2103,533.89,380.81,283.23,282.44,98.84,322.03,300,263.62,317.72,382.07,573,471.14,656.12,728
Kota Batu,6626.88,5833.67,6510.75,7602.13,8170.46,7874.85,9805,2103.86,1908.44,1897.68,2270.55,2631.86,1933.27,2792,74.62,-,58.74,43.87,6.71,133.83,-,34.88,50.42,-,-,-,-,-,3750.41,3308.25,3820.02,4788.93,4202.86,4434.79,5615,280.87,242.61,178.9,126.7,165.58,321.56,87,-,27.25,0.64,31.49,126.87,14.93,31,54.46,87.51,92.36,110.72,675.96,807.12,963,35.99,5.59,109.69,22.31,40.27,29.08,75,291.79,203.6,352.73,207.56,320.35,200.28,241
Pandeglang,3074.57,4250.38,3542.61,3977.6,4887.84,4095.69,3949,106.38,686.86,199.8,111.54,144.25,166.18,31,9.71,37.29,38.19,-,5.71,0.25,46,12.77,0.89,8.24,-,2.51,12.72,13,2394.53,2638.47,2719.76,3146.64,3504.4,3147.77,2912,368.06,586.6,398.04,516.68,885.07,375.17,417,98.78,30.95,16.59,1.84,107.16,28.16,53,45.39,9.52,53.37,2.17,105.3,140.15,209,7.14,24.02,4.79,11.82,11.45,4.19,-,31.82,235.8,103.83,186.92,121.99,221.1,268
Lebak,3701.43,3746.01,4956.95,6486.36,8376.02,7023.67,6120,166.84,102.04,337.35,598.99,425.55,233.6,150,7.45,38.92,143.75,51.49,8.51,5.13,6,23.24,16.08,4.77,-,-,91.72,58,3015.85,2649.39,3377.76,4610.08,5641.86,4772.19,4407,350.78,752.97,900.4,974.8,1818.24,1632.94,1250,29.8,11.59,28.18,44.35,188.85,68.56,2,14.39,1.76,11.43,-,110.52,68.41,75,-,6.81,-,56.69,8.55,-,-,93.07,166.45,153.31,149.97,173.94,151.11,172
Tangerang,6361.91,6612.52,6938.69,6772.46,9871.36,8452.51,7884,967.6,1203.97,873.65,622.52,1198.65,759.62,762,57.94,-,-,-,-,-,-,55.09,22.54,92.7,45.12,54.05,-,17,4516.29,4335.76,4886.15,5360.02,6709.75,5946.31,5651,460.03,470.37,413.86,445.69,406.16,392.76,270,40.66,9.52,36.81,4.02,25.39,45.49,27,26.67,53.14,46.27,56.36,927.72,951.45,816,50.2,220.74,158.31,67.79,202.77,181.03,25,187.42,296.47,430.95,170.93,346.87,175.86,316
Serang,3614.43,4827.29,4273.32,4902.81,6748.25,6401.17,6304,262.17,632.21,205.23,347.49,349.53,407.19,272,13.92,18.46,28.49,29.61,21.56,10.2,-,1.61,-,11.68,3.63,31.12,17.49,-,2973.32,3379.62,3285.58,3896.46,5057.17,4742,4806,170.9,549.18,332.25,340.23,640.43,666.14,697,124.04,60.52,173.07,85.12,159.48,113.18,27,9.3,36.78,9.14,3.41,214.75,296.36,255,28.05,9.04,17.45,-,2.86,13.52,-,31.13,141.48,210.42,196.87,271.35,135.09,248
Kota Tangerang,9967.9,10729.48,11903.92,11698.88,17521.29,18643.21,16041,2536.49,2215.61,2115.14,2237.45,3973.68,4547.32,2978,140.02,37.64,39.95,19.17,41.01,137.53,30,135.43,27.17,304.14,237.28,286.18,379.68,280,5759.12,6698.07,7316.41,7585.8,9153.44,9130.94,8531,611.23,255.1,472.83,420.67,825,689.04,609,93.8,145.87,253.4,124.05,80.95,37.43,85,263.02,584.71,451.95,324.99,2577.54,2822.16,2837,147.1,336.35,342.06,295.33,203.23,407.18,268,281.69,428.98,608.03,454.13,380.27,491.92,421
Kota Cilegon,6278.06,7069.69,7713.88,10064.38,9083.75,10880.37,8054,1285.6,967.09,1033.13,1669.42,1564.46,1761.26,580,26.36,-,40.3,-,-,220.84,14,-,-,-,-,68.3,-,79,3785.6,4294.31,5195.72,6326.31,4781.34,5519.14,5402,544.11,978.65,501.96,680.55,642.94,1066.3,549,102.81,324.38,247.42,168.21,213.88,168.14,32,240.35,177.99,100.45,251.63,1413.46,1551.8,985,173.8,236.72,290.59,463.87,80.56,306.73,160,119.45,90.56,304.3,504.38,318.81,286.16,253
Kota Serang,5231.31,6468.77,7452.92,7409.97,8744.8,8292.17,7346,629.3,1093.04,1270.64,767.09,1210.59,1217.85,723,46.18,26.11,73.46,43.96,76.56,39.5,-,9.92,-,1.21,8.2,33.68,23.96,-,3528.77,4116.87,4640.64,4915.19,5345.9,5323.27,4676,609.13,424.51,486.31,521.21,376.61,266.39,237,81.1,168.83,122.72,149.93,248.64,58.13,243,49.06,74.09,151.4,275.06,1021.36,599.73,808,20.24,104.03,165.24,169.44,181.63,178.25,100,257.6,461.27,541.3,559.9,249.82,585.1,560
Kota Tangerang Selatan,12488.12,11682.02,10927.51,14337.42,14691.69,14649.45,17382,3577.55,2912.51,2892.43,4266.6,3879.57,3817.6,4919,19.37,25.9,29.4,-,-,-,172,115.87,22.66,13.93,34.66,-,47.42,112,7086.07,7119.77,6850.91,8209.3,8249.4,8062.69,8569,763.76,694.6,453.62,532.96,630.63,491.96,388,72.71,55.7,57.05,85.55,36.46,73.12,49,299.41,297.29,146.67,302.64,1403.13,1632.67,2414,214.4,309.36,214.69,284.91,272.45,262.87,345,338.99,244.23,268.81,620.79,220.04,261.13,413
Jembrana,5231.1,8158.44,11857.36,9901.82,6797.11,7434.22,13919,243,50.52,77.81,223.91,168.51,189.24,231,43.31,-,17.16,2.17,42.75,-,15,778.59,1986.26,4117.9,1278.98,890.14,1366.39,6441,3200.69,4137.93,4966.26,5733.52,4853.35,4876.8,5567,782.66,1872.63,2563.99,2493.53,608.52,790.94,1151,-,-,-,53.33,-,-,226,25.76,14.14,20.36,20.01,75.37,112.53,197,13.53,-,-,1.35,-,3.32,-,143.55,96.95,93.88,94.99,158.47,95,91
Tabanan,8397.07,9288.94,11570.44,10936.82,7954.44,12329.96,21398,142.92,88.04,46.06,417.58,14.19,269.28,118,-,-,-,-,-,-,46,2419.54,3737.24,4043.75,2190.29,1489.2,3317.81,12899,5253.02,4798.3,6893.58,7709.16,5395.65,7430.03,7217,447.04,355.64,473.88,282.67,347.52,435.95,319,-,-,-,-,19.47,34.25,-,-,13.71,45.39,67.53,499.17,553.71,344,2.52,21.77,-,-,9.32,37.37,1,132.02,274.24,67.79,269.59,179.91,251.56,453
Badung,9595.24,10626.45,11620.35,10308.04,11864.34,13065.77,16994,261.63,427.03,455.33,171.06,227.1,95.41,168,6.61,50.21,-,-,37.86,-,83,1973.9,2832.28,2647.58,1922.12,2202.34,2775.71,5573,6715.11,6442.22,7679.14,7205.17,7766.64,8313.02,8328,144.61,399.55,168.18,203.09,207.16,175.09,222,47.53,19.79,8.4,1.39,-,0.19,49,149.99,54.84,72.1,159.41,899.5,1220.82,1771,17.44,44.24,142.41,101.53,92.42,30.15,71,278.41,356.31,447.22,544.26,431.32,455.37,729
Gianyar,5519.83,9872.66,12367.68,11680.19,8978.44,10367.54,19824,119.47,163.52,111.69,132.61,100,258.11,171,0.13,3.03,-,-,-,-,82,1403.98,3934.14,4881.58,2433.15,1376.14,2693.18,10797,3679.52,5166.12,6475.18,7337.03,6140.57,6786.11,7669,141.52,313.23,413.34,1362.85,731,149.16,278,21.13,-,38.61,24.11,11.09,2.09,5,1.34,12.66,15.48,-,199.61,227.21,393,43.14,67.51,87.16,30.29,66.01,58.21,53,109.6,212.46,344.63,360.14,354.01,193.48,377
Klungkung,9004.29,8659.06,12852.93,8367.22,7878.67,8513.02,9689,72.26,180.07,40.82,87.95,84.19,204.97,45,-,51.05,-,-,-,-,-,1173.57,3438.45,5268.61,2225.37,970.86,1412.29,2986,5947.6,4353.17,6546.71,4911.3,5687.11,5749.01,5860,1466.15,430.97,781.97,1043.86,650.25,440.69,196,61.77,-,42.42,-,-,23.28,-,78.08,7.48,-,36.45,353.33,387.21,338,10.69,-,2.13,5.03,-,67.89,25,194.17,197.87,170.27,57.26,132.93,227.69,240
Bangli,8156.11,9039.32,16694.82,11316.22,9805.51,9260.7,23053,157.88,35.42,8.96,138.36,82.25,146.8,-,-,-,130.71,-,-,4.65,-,1958.26,3258.28,8230.28,3086.38,1808.67,2145.28,13110,5243.39,5004.21,7329.35,7398.38,7072.67,5601.85,8090,588.17,458.65,427.61,368.78,541.19,540.42,531,6.85,-,-,6.07,-,44.97,-,32.14,7.35,165.17,149.14,130.24,412.74,434,11.94,2.35,1.95,3.93,3.03,59.91,70,157.48,273.06,400.78,165.17,167.47,304.09,817
Karangasem,5396.66,6130.25,8262.83,6815.26,5727.04,5323.5,8517,199.43,90.08,111.85,89.08,76.03,54.16,13,4.96,-,-,33.96,-,-,15,1643.07,2580.53,3809.37,1542.75,1136.6,1457.93,4085,2325.3,2823.83,3279.71,3546.82,3494.99,3141.74,3353,1169.65,562.48,632.49,1401.92,862.12,388.17,565,-,23.95,9.65,42.76,1.08,6.88,3,-,9.44,63.08,-,13.31,169.66,132,9.87,6.96,31.12,4.12,8.82,2.45,28,44.4,32.98,325.56,153.86,134.1,102.51,323
Buleleng,7129.02,6916.29,9997.36,8403.71,9397.95,6657.71,13306,174.87,41.78,182.15,154.78,164.13,43.93,211,-,-,-,15.2,59.77,-,38,1786.3,1770.22,2198.88,609.19,1946.94,775.2,5037,4078.74,4290.53,5991.3,5981.58,6092.6,4892.23,6374,728.22,516.82,944.11,1230.11,720.49,293.45,711,3.4,-,279.39,48.15,3.37,81.74,39,46.51,39.85,-,38.02,110.29,87.95,169,134.8,124.07,44.95,93.98,-,149.23,284,176.18,133.02,356.58,232.69,300.36,333.99,441
Kota Denpasar,9663.68,11153.9,12763.82,12500.62,13507.44,16038.47,18553,519.22,833.75,844.79,840.3,583.22,942.73,491,8.15,-,27.6,1.65,-,42.87,116,1486.27,1960.33,2040.44,1439.77,2125.53,3124.25,4923,6798.83,7026.37,8290.3,8922.66,8793.99,9206.43,9725,248.88,393.56,465.65,81.82,77.2,83.16,315,68.55,37.47,-,42.58,20.5,15.16,-,262.81,151.9,420.8,359.81,1436.8,1725.08,2217,46.1,140.42,83.86,58.81,73.22,91.86,68,224.88,610.09,590.38,753.2,396.99,806.93,697
Lombok Barat,5172.82,7533.02,7020.72,7042.5,7701.69,7578.13,7265,1520.89,2423.59,2335.25,2159.17,1624.18,1948.1,1481,87.18,15.67,-,36.32,-,48.14,7,60.31,37.47,29.41,82.02,694.94,10.91,320,2447.94,3081.33,2969.19,2877.09,3800.2,3565.03,3636,600.05,1155.08,1020.99,1594.04,1043.82,1131.66,902,31,183.77,73.11,21.97,48.21,29.67,151,5.23,125.88,30.25,4.93,150.74,360.79,259,98.63,66.99,40.38,31.54,100.18,33.48,58,321.58,443.23,522.14,235.41,239.44,450.35,451
Lombok Tengah,4581.53,5550.34,6173.2,6771.43,6321.12,7018.05,6898,870.73,1293.12,1400.14,1315.81,1226.72,1396.94,1421,105.16,-,59.85,53.17,53.34,-,-,-,-,-,-,-,-,-,1498.57,1570.58,1625.55,2281.78,2825.95,2705.35,2674,1763.17,2128.67,2253.47,2347.29,1467.03,2188.68,2234,142.06,181.66,163.4,306.67,243.38,146.33,72,11.02,9.92,52.6,22.34,108.29,197.46,164,26.95,95.2,140.64,91.88,38.18,49.88,111,163.87,271.19,477.55,352.48,358.24,333.4,222
Lombok Timur,4778.9,5034.94,6184.3,8295.29,9424.46,9172.02,7780,1247.08,1290.34,1584.58,2348.69,2298.41,2302.62,1971,159.61,40.99,82.69,155.19,118.1,54.78,37,-,2.29,-,15.64,14.09,-,-,1906.47,2351.77,2693.95,3384.16,4281.7,4306.04,3483,1175.93,1081.91,1393.36,2001.94,2263.88,1621.92,1743,48.69,10.37,119.54,51.11,83.7,227.62,117,13.8,5.07,54.84,3.7,71.1,92.61,94,97.67,73.14,18.6,47.96,44.14,71.85,50,129.64,179.06,236.73,286.9,249.34,494.58,285
Sumbawa,6548,6856.97,6407.89,9789.27,10044.86,9489.32,9870,2265.84,1363.76,1768.08,3767,2945.77,2291.53,2137,8.42,46.46,2.84,50.87,160.08,108.12,-,54.97,112.07,81.63,103.15,50.2,141.19,406,2009.88,2627.01,2546.3,2919.17,4041.86,3417.03,4237,1535.3,1916.35,1145.32,2048.14,2647.11,2445.77,2610,420.08,311.76,278.22,288.01,12.4,187.13,43,61.78,128.26,45.3,179.2,52.68,496.56,283,-,30.92,67.78,43.06,-,69.89,28,191.73,320.38,472.41,390.66,134.76,332.11,128
Dompu,2632.4,3118.05,4396.84,5078.87,6578.23,4899.79,6692,318.2,487.35,620.09,968.49,1810.64,1185.09,1503,40.15,104.28,13.21,-,88.1,1.87,34,-,13.91,-,-,108.86,0.3,114,1066.12,1477.94,1796.29,2275.86,2841.37,2213.83,2565,960.63,960.23,1564.66,1714.32,1664.04,1283.49,2207,195.71,54.95,248.47,-,19.66,115.93,102,17.32,3.59,3.26,-,4.57,25.93,-,-,-,0.78,-,1.04,7.02,-,34.27,15.79,150.08,120.2,39.93,66.33,168
Bima,3136.17,3096.61,3686.02,3654.67,4742.21,5359.14,3865,299.24,558.87,472.57,501.39,946.29,513.25,752,77.02,3.06,175.6,117.69,162.48,165.95,26,9.42,-,-,9.74,-,-,3,1914.91,1200.26,1810.06,1979.03,2450.9,3551.8,2102,663.45,1054.98,966.48,814.05,777.21,824.92,783,109.88,245.93,86.36,111.59,243.16,242.55,93,27.56,29.09,133.51,1.36,66.37,4.27,11,-,-,14.78,-,0.47,-,-,34.69,4.43,26.64,119.81,95.32,56.4,94
