Nama Wilayah,Angka Morbiditas menurut Wilayah (Persen),,,,,
Tulungagung,18.31,,,,,
Blitar,23.61,,,,,
Kediri,17.41,,,,,
Malang,16.63,,,,,
Lumajang,15.49,,,,,
Jember,15.26,,,,,
Banyuwangi,17.85,,,,,
Bondowoso,22.48,,,,,
Situbondo,22.03,,,,,
Probolinggo,20.25,,,,,
Pasuruan,15.07,,,,,
Sidoarjo,10.46,,,,,
Mojokerto,17.22,,,,,
Jombang,19.84,,,,,
Nganjuk,22.29,,,,,
Madiun,14.83,,,,,
Magetan,17.43,,,,,
Ngawi,13.96,,,,,
Bojonegoro,18.98,,,,,
Tuban,15.44,,,,,
Lamongan,16.27,,,,,
Gresik,11.43,,,,,
Bangkalan,8.29,,,,,
Sampang,27.14,,,,,
Pamekasan,18.06,,,,,
Sumenep,8.93,,,,,
Kota Kediri,15.74,,,,,
Kota Blitar,23.31,,,,,
Kota Malang,12.36,,,,,
Kota Probolinggo,19,,,,,
Kota Pasuruan,18.04,,,,,
Kota Mojokerto,16.37,,,,,
Kota Madiun,13.43,,,,,
Kota Surabaya,15.51,,,,,
Kota Batu,16.88,,,,,
BANTEN,17.87,,,,,
Pandeglang,15.13,,,,,
Lebak,24.34,,,,,
Tangerang,22.17,,,,,
Serang,18.82,,,,,
Kota Tangerang,15.8,,,,,
Kota Cilegon,19.95,,,,,
Kota Serang,14.18,,,,,
Kota Tangerang Selatan,8.32,,,,,
BALI,15.96,,,,,
Jembrana,12.41,,,,,
Tabanan,13.86,,,,,
Badung,9.32,,,,,
Gianyar,15.89,,,,,
Klungkung,11.94,,,,,
Bangli,27.68,,,,,
Karang Asem,23.24,,,,,
Buleleng,25.23,,,,,
Kota Denpasar,10.97,,,,,
NUSA TENGGARA BARAT,22.69,,,,,
Lombok Barat,22.22,,,,,
Lombok Tengah,31.07,,,,,
Lombok Timur,19.3,,,,,
Sumbawa,18.26,,,,,
Dompu,18.33,,,,,
Bima,23.71,,,,,
Sumbawa Barat,23.79,,,,,
Lombok Utara,15.8,,,,,
Kota Mataram,21.4,,,,,
Kota Bima,28.92,,,,,
NUSA TENGGARA TIMUR,21.9,,,,,
Sumba Barat,21.23,,,,,
Sumba Timur,25.03,,,,,
Kupang,26.48,,,,,
Timor Tengah Selatan,23.92,,,,,
Timor Tengah Utara,24.02,,,,,
Belu,16.25,,,,,
Alor,21.32,,,,,
Lembata,20.69,,,,,
Flores Timur,19.86,,,,,
Sikka,21.02,,,,,
Ende,23.51,,,,,
Ngada,26.87,,,,,
Manggarai,21.63,,,,,
Rote Ndao,19.45,,,,,
Manggarai Barat,21.89,,,,,
Sumba Tengah,31.38,,,,,
Sumba Barat Daya,28.08,,,,,
Nagekeo,18.9,,,,,
Manggarai Timur,20.95,,,,,
Sabu Raijua,21.18,,,,,
Malaka,12.31,,,,,
Kota Kupang,15.75,,,,,
KALIMANTAN BARAT,13.09,,,,,
Sambas,14.47,,,,,
Bengkayang,15.64,,,,,
Landak,19.98,,,,,
Pontianak,17.78,,,,,
Sanggau,11.95,,,,,
Ketapang,8.72,,,,,
Sintang,8.53,,,,,
Kapuas Hulu,12.43,,,,,
Sekadau,9.89,,,,,
Melawi,20.88,,,,,
Kayong Utara,17.54,,,,,
Kubu Raya,15.27,,,,,
Kota Pontianak,9.32,,,,,
Kota Singkawang,9.97,,,,,
KALIMANTAN TENGAH,12.66,,,,,
Kotawaringin Barat,12.76,,,,,
Kotawaringin Timur,11.74,,,,,
Kapuas,14.87,,,,,
Barito Selatan,10.48,,,,,
Barito Utara,7.3,,,,,
Sukamara,15.8,,,,,
Lamandau,12.63,,,,,
Seruyan,13.47,,,,,
Katingan,17.24,,,,,
Pulang Pisau,13.57,,,,,
Gunung Mas,9.32,,,,,
Barito Timur,7.3,,,,,
Murung Raya,8.68,,,,,
Kota Palangka Raya,15.76,,,,,
KALIMANTAN SELATAN,13.89,,,,,
Tanah Laut,15.19,,,,,
Kota Baru,16.83,,,,,
Banjar,12.65,,,,,
Barito Kuala,18.3,,,,,
Tapin,9.5,,,,,
Hulu Sungai Selatan,13.34,,,,,
Hulu Sungai Tengah,14.54,,,,,
Hulu Sungai Utara,15.12,,,,,
Tabalong,10.95,,,,,
Tanah Bumbu,15.06,,,,,
Balangan,20.3,,,,,
Kota Banjarmasin,12.27,,,,,
Kota Banjar Baru,10.23,,,,,
KALIMANTAN TIMUR,11.78,,,,,
Paser,7.73,,,,,
Kutai Barat,18.45,,,,,
Kutai Kartanegara,10.14,,,,,
Kutai Timur,12.43,,,,,
